            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458243.916666667, A.D. 2018-May-05 10:00:00.0000, -3.027688709321718E+07, -4.286603337749324E+08, -7.007810013781679E+07,  1.766591476641130E+01, -3.209691582177521E+00,  1.285193679286557E+00,  1.452353973932030E+03,  4.354047677311512E+08,  1.724681681161378E+00,
2458244.916666667, A.D. 2018-May-06 10:00:00.0000, -2.875037525466901E+07, -4.289350911996776E+08, -6.996664192471233E+07,  1.766997163149253E+01, -3.150437806633939E+00,  1.294853330683973E+00,  1.452851531768159E+03,  4.355539318178415E+08,  1.728186611215100E+00,
2458245.916666667, A.D. 2018-May-07 10:00:00.0000, -2.722352217442299E+07, -4.292047300991431E+08, -6.985435021265429E+07,  1.767381394363385E+01, -3.091207337371044E+00,  1.304487621704550E+00,  1.453350096191321E+03,  4.357033976717324E+08,  1.731667033061596E+00,
2458246.916666667, A.D. 2018-May-08 10:00:00.0000, -2.569634637325863E+07, -4.294692525223644E+08, -6.974122719661322E+07,  1.767744208749304E+01, -3.032000992602760E+00,  1.314096463745629E+00,  1.453849660138321E+03,  4.358531631753319E+08,  1.735122947188892E+00,
2458247.916666667, A.D. 2018-May-09 10:00:00.0000, -2.416886633858506E+07, -4.297286605889145E+08, -6.962727507917690E+07,  1.768085645087028E+01, -2.972819586937072E+00,  1.323679769084707E+00,  1.454350216546185E+03,  4.360032262112131E+08,  1.738554354614242E+00,
2458248.916666667, A.D. 2018-May-10 10:00:00.0000, -2.264110052417086E+07, -4.299829564885933E+08, -6.951249607047433E+07,  1.768405742467593E+01, -2.913663931367249E+00,  1.333237450877476E+00,  1.454851758352308E+03,  4.361535846620601E+08,  1.741961256880918E+00,
2458249.916666667, A.D. 2018-May-11 10:00:00.0000, -2.111306734987678E+07, -4.302321424811133E+08, -6.939689238810012E+07,  1.768704540289829E+01, -2.854534833263683E+00,  1.342769423155816E+00,  1.455354278494600E+03,  4.363042364107125E+08,  1.745343656055339E+00,
2458250.916666667, A.D. 2018-May-12 10:00:00.0000, -1.958478520139115E+07, -4.304762208957875E+08, -6.928046625703856E+07,  1.768982078257148E+01, -2.795433096365670E+00,  1.352275600825755E+00,  1.455857769911648E+03,  4.364551793402115E+08,  1.748701554723863E+00,
2458251.916666667, A.D. 2018-May-13 10:00:00.0000, -1.805627242996813E+07, -4.307151941312144E+08, -6.916321990958858E+07,  1.769238396374333E+01, -2.736359520773651E+00,  1.361755899665381E+00,  1.456362225542856E+03,  4.366064113338431E+08,  1.752034955989754E+00,
2458252.916666667, A.D. 2018-May-14 10:00:00.0000, -1.652754735216872E+07, -4.309490646549641E+08, -6.904515558528811E+07,  1.769473534944328E+01, -2.677314902941599E+00,  1.371210236322742E+00,  1.456867638328596E+03,  4.367579302751848E+08,  1.755343863470030E+00,
2458253.916666667, A.D. 2018-May-15 10:00:00.0000, -1.499862824960453E+07, -4.311778350032623E+08, -6.892627553083923E+07,  1.769687534565042E+01, -2.618300035669936E+00,  1.380638528313669E+00,  1.457374001210358E+03,  4.369097340481482E+08,  1.758628281292562E+00,
2458254.916666667, A.D. 2018-May-16 10:00:00.0000, -1.346953336868427E+07, -4.314015077806748E+08, -6.880658200003332E+07,  1.769880436126157E+01, -2.559315708098550E+00,  1.390040694019587E+00,  1.457881307130892E+03,  4.370618205370231E+08,  1.761888214092999E+00,
2458255.916666667, A.D. 2018-May-17 10:00:00.0000, -1.194028092036309E+07, -4.316200856597902E+08, -6.868607725367630E+07,  1.770052280805936E+01, -2.500362705700086E+00,  1.399416652685288E+00,  1.458389549034360E+03,  4.372141876265222E+08,  1.765123667011705E+00,
2458256.916666667, A.D. 2018-May-18 10:00:00.0000, -1.041088907989464E+07, -4.318335713809041E+08, -6.856476355951390E+07,  1.770203110067918E+01, -2.441441810273874E+00,  1.408766324416762E+00,  1.458898719866476E+03,  4.373668332018242E+08,  1.768334645691061E+00,
2458257.916666667, A.D. 2018-May-19 10:00:00.0000, -8.881375986585757E+06, -4.320419677516997E+08, -6.844264319215780E+07,  1.770332965658360E+01, -2.382553799937832E+00,  1.418089630178485E+00,  1.459408812574651E+03,  4.375197551486159E+08,  1.771521156270432E+00,
2458258.916666667, A.D. 2018-May-20 10:00:00.0000, -7.351759743554017E+06, -4.322452776469312E+08, -6.831971843301129E+07,  1.770441889601729E+01, -2.323699449126961E+00,  1.427386491791972E+00,  1.459919820108140E+03,  4.376729513531371E+08,  1.774683205387599E+00,
2458259.916666667, A.D. 2018-May-21 10:00:00.0000, -5.822058417488256E+06, -4.324435040081041E+08, -6.819599157019538E+07,  1.770529924199014E+01, -2.264879528583361E+00,  1.436656831932411E+00,  1.460431735418180E+03,  4.378264197022216E+08,  1.777820800171229E+00,
2458260.916666667, A.D. 2018-May-22 10:00:00.0000, -4.292290038411165E+06, -4.326366498431566E+08, -6.807146489847505E+07,  1.770597112023881E+01, -2.206094805352115E+00,  1.445900574126818E+00,  1.460944551458132E+03,  4.379801580833408E+08,  1.780933948239157E+00,
2458261.916666667, A.D. 2018-May-23 10:00:00.0000, -2.762472599445225E+06, -4.328247182261394E+08, -6.794614071918589E+07,  1.770643495919322E+01, -2.147346042777782E+00,  1.455117642751662E+00,  1.461458261183625E+03,  4.381341643846449E+08,  1.784022657696899E+00,
2458262.916666667, A.D. 2018-May-24 10:00:00.0000, -1.232624056581257E+06, -4.330077122968967E+08, -6.782002134016070E+07,  1.770669118994794E+01, -2.088634000498247E+00,  1.464307963030269E+00,  1.461972857552694E+03,  4.382884364950058E+08,  1.787086937133285E+00,
2458263.916666667, A.D. 2018-May-25 10:00:00.0000,  2.972376715505216E+05, -4.331856352607443E+08, -6.769310907565665E+07,  1.770674024623186E+01, -2.029959434440237E+00,  1.473471461030242E+00,  1.462488333525915E+03,  4.384429723040577E+08,  1.790126795617529E+00,
2458264.916666667, A.D. 2018-May-26 10:00:00.0000,  1.827094703906713E+06, -4.333584903881503E+08, -6.756540624628210E+07,  1.770658256437560E+01, -1.971323096814481E+00,  1.482608063661121E+00,  1.463004682066550E+03,  4.385977697022396E+08,  1.793142242695680E+00,
2458265.916666667, A.D. 2018-May-27 10:00:00.0000,  3.356929197254119E+06, -4.335262810144129E+08, -6.743691517892429E+07,  1.770621858328021E+01, -1.912725736112663E+00,  1.491717698671779E+00,  1.463521896140680E+03,  4.387528265808352E+08,  1.796133288388594E+00,
2458266.916666667, A.D. 2018-May-28 10:00:00.0000,  4.886723346390464E+06, -4.336890105393390E+08, -6.730763820667660E+07,  1.770564874438338E+01, -1.854168097103920E+00,  1.500800294648074E+00,  1.464039968717342E+03,  4.389081408320150E+08,  1.799099943189139E+00,
2458267.916666667, A.D. 2018-May-29 10:00:00.0000,  6.416459384362239E+06, -4.338466824269228E+08, -6.717757766876680E+07,  1.770487349163299E+01, -1.795650920829856E+00,  1.509855781009974E+00,  1.464558892768663E+03,  4.390637103488759E+08,  1.802042218057816E+00,
2458268.916666667, A.D. 2018-May-30 10:00:00.0000,  7.946119582680340E+06, -4.339993002050232E+08, -6.704673591048458E+07,  1.770389327145363E+01, -1.737174944602721E+00,  1.518884088009057E+00,  1.465078661269998E+03,  4.392195330254819E+08,  1.804960124421167E+00,
